中医百科

Asian toddalia root (bark) - 飞龙掌血
six climatic factors - 六气
five zang viscera - 五脏
visceral manifestations - 脏象
zang-fu viscera - 脏腑
seven emotions - 七情
	traditional Chinese medicine - 中医学
Chinese materia medica - 中药学
integration of traditional and western medicine - 中西医结合
traditional Chinese medicine and pharmacology - 中医药学
illness of child viscera affecting the mother one - 子病及母
illness of mother viscera affecting the child one - 母病及子
wood generating fire - 木生火
fire generating earth - 火生土
earth generating metal - 土生金
metal generating water - 金生水
water generating wood - 水生木
mutual restriction of five phases - 五行相克
over-restriction of five phases - 五行相乘
doctrine of five evolutive phases and six climatic factors - 运气学说
five evolutive phases - 五运
vitamins               - 维生素
cordyceps               - 冬虫夏草
convulsion               - 惊厥
continuous               - 连绵不断
connective tissue              - 结缔组织
continuous               - 连绵不绝
conspicuous               - 显
cool               - 清
contract               - 冒犯
constant               - 不断
constipation               - 便秘
constrained               - 不舒
constipation               - 大便不行
constipation               - 大便不解
constipation               - 大便不通
constipation               - 大便秘
constipation               - 大便秘结
constrictor               - 缩肌
damage               - 损伤
damage               - 残
cuscuta               - 菟丝
complex               - 夹杂
complex               - 夹错
congenital               - 先天性的
complex               - 繁
complex patterns              - 证候错杂
congenital cataract              - 发育性白内障
complexion               - 色泽
columbine               - 漏斗菜
colysis               - 大石韦
coma               - 昏迷不醒
complicated cataract              - 并发性白内障
coma               - 神志昏迷
complicated by              - 挟
compose               - 组
combination               - 相兼
congest               - 雍
compress               - 罨
combine               - 配
combine               - 配伍
conceive               - 摄精
conceive               - 摄精成孕
constipation               - 秘结
constituent               - 成分
cooperate               - 协
constituent               - 组成
copious sweat              - 汗多
confine               - 挟
cold and heat             - 寒热
commonplace               - 庸
confucian scholar              - 儒
bacillary dysentery              - 细菌性痢疾
wedelia               - 蟛蜞菊
whiplash               - 鞘
wax gourd              - 枕瓜
Western medicine              - 西方医学
wax gourd              - 白瓜
wax               - 蜡
way of life             - 起居
wether               - 羯
whittle               - 破削
carcinoma of the breast            - 乳腺癌
Rhubarb and Ground Beetle*& Pill           - 大黄蟅虫丸
worker               - 工
works               - 着
yawning               - 呵欠
year               - 岁
year               - 年
worm accumulation              - 虫积
yeast               - 酵母
Yellow Emperor              - 公孙
wood ear              - 木檽
wriggle               - 蜿
wriggle               - 蠕
withered               - 萎
wood ear              - 木蛾
wrinkle               - 皱纹
wood ear              - 树鸡
wrist               - 手腕
wrist               - 手踝
wood ear              - 耳子
wood ear              - 黑木耳
without               - 无
withstand               - 耐
wooden tongue              - 木舌
Winter Solstice              - 冬至
wind evil              - 风邪
wisdom               - 智
wisdom tooth              - 智齿
wisdom tooth              - 真牙
Wrist Bone              - 腕骨
write               - 撰
wok               - 锅
writing               - 文
writings               - 书
wolf               - 狼
woodworm               - 蠡
wrong               - 忒
wrong               - 错
woman               - 女
woman               - 妇
know               - 知
lac               - 紫虫胶
klebsiella pneumonia              - 克雷白杆菌肺炎
lac               - 紫铆\Q{??}
knuckle               - 本节
lac               - 虫胶
lac               - 赤胶
laceration               - 裂伤
lack               - 欠
lack of warmth             - 欠温
lacquer               - 干漆
Korea               - 韩
lacquer               - 漆
knee joint              - 膝关节
kidney bean              - 唐豇
knee cap              - 膝盖
kidney bean              - 敏豆
knee cap              - 膝膑
kidney bean              - 白豆
kidney bean              - 白饭豆
knee cap              - 膝髌
kneecap               - 髌
Kneecap               - 髌骨
killing               - 相杀
kind               - 种
kind               - 类
knock               - 打
kind               - 般
king               - 王
lacquer               - 漆干
kaolin               - 白符
kaolin               - 白陶土
kaolin               - 高岭土
jujube               - 红枣
jujube               - 美枣
keep fit              - 颐养
keloid               - 瘢瘤
keloid               - 蟹足肿
kelp               - 昆布
